"severity","levelId","file","code","message","details"
"severe","365","assets/LevelData/level_365.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":576}"
"severe","366","assets/LevelData/level_366.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":216}"
"severe","367","assets/LevelData/level_367.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":474}"
"severe","368","assets/LevelData/level_368.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":834}"
"severe","369","assets/LevelData/level_369.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":722}"
"severe","370","assets/LevelData/level_370.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":335}"
"severe","371","assets/LevelData/level_371.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":576}"
"severe","372","assets/LevelData/level_372.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":900}"
"severe","373","assets/LevelData/level_373.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1974}"
"severe","374","assets/LevelData/level_374.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":108}"
"severe","375","assets/LevelData/level_375.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":2025}"
"severe","376","assets/LevelData/level_376.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1050}"
"severe","377","assets/LevelData/level_377.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":350}"
"severe","378","assets/LevelData/level_378.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":900}"
"severe","442","assets/LevelData/level_442.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":529}"
"severe","443","assets/LevelData/level_443.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1296}"
"severe","444","assets/LevelData/level_444.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":280}"
"severe","445","assets/LevelData/level_445.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":361}"
"severe","446","assets/LevelData/level_446.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":576}"
"severe","447","assets/LevelData/level_447.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1024}"
"severe","448","assets/LevelData/level_448.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":131}"
"severe","449","assets/LevelData/level_449.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":272}"
"severe","450","assets/LevelData/level_450.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":261}"
"severe","451","assets/LevelData/level_451.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1122}"
"severe","452","assets/LevelData/level_452.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":924}"
"severe","453","assets/LevelData/level_453.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":340}"
"severe","454","assets/LevelData/level_454.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":208}"
"severe","455","assets/LevelData/level_455.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":606}"
"severe","456","assets/LevelData/level_456.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":900}"
"severe","457","assets/LevelData/level_457.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":166}"
"severe","458","assets/LevelData/level_458.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":202}"
"severe","459","assets/LevelData/level_459.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":253}"
"severe","460","assets/LevelData/level_460.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":270}"
"severe","461","assets/LevelData/level_461.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":550}"
"severe","462","assets/LevelData/level_462.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":576}"
"severe","463","assets/LevelData/level_463.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1156}"
"severe","464","assets/LevelData/level_464.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1140}"
"severe","465","assets/LevelData/level_465.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":675}"
"severe","466","assets/LevelData/level_466.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":328}"
"severe","467","assets/LevelData/level_467.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":625}"
"severe","468","assets/LevelData/level_468.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":387}"
"severe","469","assets/LevelData/level_469.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1600}"
"severe","470","assets/LevelData/level_470.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":182}"
"severe","471","assets/LevelData/level_471.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":910}"
"severe","472","assets/LevelData/level_472.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1225}"
